Pixel-X,Pixel-Y,Longitude,Latitude,band_1,band_2,band_3,band_4,band_5,band_6
311.5,218.5,74.3930298,36.66592991,0.5096214,0.5203101,0.542816,0.5399319,0.18939911,0.18022688
393.5,218.5,74.41780362,36.66605359,0.2132182,0.17168747,0.16781941,0.15406632,0.02689544,0.027664525
396.5,218.5,74.41870998,36.66605802,0.25911397,0.23176529,0.21210234,0.18623005,0.016381575,0.017820328
399.5,218.5,74.41961634,36.66606244,0.2519976,0.22108823,0.20402513,0.1776985,0.021283664,0.022794778
402.5,218.5,74.4205227,36.66606685,0.71991116,0.67672914,0.68602604,0.62094766,0.052425805,0.05119133
418.5,219.5,74.42535845,36.66584688,0.80321455,0.78835046,0.8141685,0.803686,0.1427406,0.1495814
424.5,219.5,74.42717117,36.66585561,0.86297995,0.8402071,0.8629331,0.81727445,0.09608587,0.103155635
432.5,219.5,74.42958813,36.66586721,0.6457725,0.6109143,0.6192944,0.5780502,0.10403641,0.10498406
435.5,219.5,74.43049449,36.66587155,0.6870513,0.6789615,0.70929813,0.6262468,0.08402816,0.0859465
438.5,219.5,74.43140086,36.66587588,0.725079,0.71774614,0.7444238,0.7101728,0.1518405,0.13721064
440.5,219.5,74.4320051,36.66587877,0.6760072,0.6859965,0.7319929,0.7210591,0.24984616,0.20745005
443.5,219.5,74.43291146,36.66588308,0.6288945,0.6531664,0.70088017,0.69881934,0.2405208,0.18494293
446.5,219.5,74.43381782,36.6658874,0.74364734,0.7338304,0.7590383,0.75906605,0.18297392,0.16878833
449.5,219.5,74.43472418,36.6658917,0.7547954,0.732527,0.7649174,0.77315366,0.18279724,0.1642449
457.5,219.5,74.43714115,36.66590315,0.6942021,0.71134055,0.7323112,0.7094544,0.13064878,0.12721597
460.5,219.5,74.43804751,36.66590743,0.7121129,0.6917976,0.71349376,0.71045274,0.07195707,0.07753846
462.5,219.5,74.43865176,36.66591028,0.56108767,0.5599142,0.5664401,0.5180394,0.03763864,0.042132378
468.5,219.5,74.44046448,36.66591881,0.52917355,0.54597497,0.5768873,0.567585,0.14902201,0.13556299
471.5,219.5,74.44137085,36.66592306,0.3604649,0.3493303,0.38646963,0.38182065,0.19573003,0.18309839
498.5,219.5,74.44952813,36.66596105,0.37223616,0.4039213,0.44433632,0.45741683,0.28441855,0.26561382
507.5,219.5,74.45224723,36.66597358,0.1649517,0.15258676,0.15476207,0.1507263,0.08509481,0.08105903
